Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom
B171995,8/3/17,1/12/18,12600,FALSE,FALSE,2,300 Block of 5th Avenue,94118,1,Inner Richmond,"(37.7820265124035, -122.46334969024808)"
B171999,8/7/17,10/27/17,47500,FALSE,FALSE,2,0 Block of Malta Drive,94131,7,West of Twin Peaks,"(37.7354310005362, -122.44394969074942)"
B172050,,8/8/17,20000,FALSE,FALSE,3,900 Block of Wawona Street,94116,4,Sunset/Parkside,"(37.737438572104836, -122.47690990156093)"
B172053,8/9/17,12/19/17,20600,FALSE,FALSE,1,200 Block of Cervantes Boulevard,94123,2,Marina,"(37.805276091472784, -122.44159335551132)"
B172083,8/15/17,4/2/18,235000,FALSE,FALSE,4,1500 Block of Fulton Street,94117,5,Lone Mountain/USF,"(37.776276302674454, -122.44229944730586)"
B172085,8/15/17,10/19/17,11000,FALSE,FALSE,1,300 Block of Turk Street,94102,6,Tenderloin,"(37.78263551220888, -122.41486282787415)"
B172093,8/16/17,10/30/17,20000,FALSE,FALSE,1,700 Block of De Haro Street,94107,10,Potrero Hill,"(37.76036740787995, -122.40120680374795)"
B172131,8/18/17,5/15/18,50000,FALSE,FALSE,2,500 Block of Sanchez Street,94114,8,Castro/Upper Market,"(37.76076056057086, -122.43046631440623)"
B172148,,8/22/17,18000,FALSE,FALSE,5,1900 Block of Quint Street,94124,10,Bayview Hunters Point,"(37.73314215928444, -122.4003530397921)"
B172151,8/22/17,12/11/17,18000,FALSE,FALSE,2,3200 Block of Balboa Street,94121,1,Outer Richmond,"(37.775941178296, -122.4935780790514)"
B172179,8/22/17,12/20/17,15000,FALSE,FALSE,2,3200 Block of Balboa Street,94121,1,Outer Richmond,"(37.775941178296, -122.4935780790514)"
B172181,8/22/17,11/9/17,65000,FALSE,FALSE,1,3600 Block of Market Street,94131,8,Twin Peaks,"(37.75539574323007, -122.44123583775676)"
B172182,,8/23/17,15000,FALSE,FALSE,2,3600 Block of Scott Street,94123,2,Marina,"(37.80335602611162, -122.44189794849956)"
B172183,8/24/17,10/16/17,27219,FALSE,FALSE,3,100 Block of Bernard Street,94109,3,Nob Hill,"(37.7961589594177, -122.41590705600177)"
B172186,8/25/17,11/27/17,65000,FALSE,TRUE,2,700 Block of Rhode Island Street,94107,10,Potrero Hill,"(37.760308806704025, -122.40221044592403)"
B172193,8/25/17,10/30/17,1620.29,FALSE,TRUE,1,1500 Block of Oak Street,94117,5,Haight Ashbury,"(37.77213360752625, -122.4448595562686)"
B172199,8/29/17,1/17/18,32000,FALSE,FALSE,2,1200 Block of Alemany Boulevard,94112,8,Outer Mission,"(37.7303399204221, -122.43238516278505)"
B172200,8/29/17,10/17/17,12600,FALSE,FALSE,2,100 Block of Maynard Street,94112,11,Excelsior,"(37.72939514948723, -122.4271509655655)"
B172201,8/29/17,11/20/17,20000,FALSE,FALSE,3,0 Block of John Street,94133,3,Chinatown,"(37.79590004654726, -122.41079836908243)"
B172206,8/30/17,10/20/17,7500,FALSE,FALSE,1,1100 Block of Naples Street,94112,11,Excelsior,"(37.7121195353374, -122.43758840244034)"
B172207,8/30/17,10/18/17,7500,FALSE,FALSE,1,1100 Block of Naples Street,94112,11,Excelsior,"(37.7121195353374, -122.43758840244034)"
B172208,8/30/17,10/25/17,7500,FALSE,FALSE,1,1100 Block of Naples Street,94112,11,Excelsior,"(37.7121195353374, -122.43758840244034)"
B172209,8/30/17,10/18/17,7500,FALSE,FALSE,1,1100 Block of Naples Street,94112,11,Excelsior,"(37.7121195353374, -122.43758840244034)"
B172279,8/30/17,11/7/17,3250,FALSE,TRUE,1,700 Block of Avalon Avenue,94112,11,Excelsior,"(37.72500266224684, -122.42646665181816)"
B172286,9/1/17,1/17/18,52900,FALSE,FALSE,1,2000 Block of 47th Avenue,94116,4,Sunset/Parkside,"(37.74825048666994, -122.50622185222717)"
B172287,9/1/17,12/5/17,14500,FALSE,FALSE,1,200 Block of 11th Street,94103,6,Mission,"(37.772836488160294, -122.41533082295018)"
B172289,9/5/17,10/31/17,25000,FALSE,FALSE,4,1400 Block of Lincoln Way,94122,5,Inner Sunset,"(37.76550735558278, -122.47347752280591)"
B172292,9/8/17,12/21/17,33000,FALSE,FALSE,2,800 Block of Church Street,94114,8,Castro/Upper Market,"(37.75768609992703, -122.4280788557003)"
B172294,9/6/17,11/29/17,50000,FALSE,FALSE,2,4500 Block of 18th Street,94114,8,Castro/Upper Market,"(37.76055106780712, -122.43966846468301)"
B172295,9/6/17,12/5/17,50000,FALSE,FALSE,2,4500 Block of 18th Street,94114,8,Castro/Upper Market,"(37.76055106780712, -122.43966846468301)"
B172296,9/11/17,12/18/17,44000,FALSE,FALSE,4,1500 Block of 47th Avenue,94122,4,Sunset/Parkside,"(37.75757619222737, -122.50687131729624)"
B172298,9/11/17,10/2/17,60000,FALSE,FALSE,1,1600 Block of Clay Street,94109,3,Russian Hill,"(37.792542405398905, -122.42023827611995)"
B172300,9/11/17,1/2/18,45000,FALSE,FALSE,1,700 Block of Central Avenue,94117,5,Lone Mountain/USF,"(37.77647858319588, -122.44494160887868)"
B172301,9/11/17,4/9/18,45670,FALSE,FALSE,1,700 Block of 15th Avenue,94118,1,Outer Richmond,"(37.773998348097564, -122.47342632383703)"
B172303,9/12/17,1/26/18,14200,FALSE,TRUE,1,100 Block of Lake Merced Hill Street South,94132,7,Lakeshore,"(37.71059152279304, -122.4839900407717)"
B172304,9/13/17,11/17/17,25000,FALSE,FALSE,2,3500 Block of 22nd Street,94114,8,Noe Valley,"(37.754984269238136, -122.42718995601507)"
B172353,9/13/17,11/21/17,9000,FALSE,FALSE,3,100 Block of Saturn Street,94114,8,Castro/Upper Market,"(37.762604397515, -122.44381114373164)"
B172367,9/13/17,11/17/17,50000,FALSE,TRUE,1,4100 Block of 21st Street,94114,8,Castro/Upper Market,"(37.75598397693621, -122.43727946770764)"
B172372,9/14/17,11/1/17,20000,FALSE,FALSE,1,800 Block of Cole Street,94117,5,Haight Ashbury,"(37.76625586311661, -122.45012020345787)"
B172380,9/18/17,11/28/17,50000,FALSE,FALSE,2,300 Block of Vernon Street,94132,11,Oceanview/Merced/Ingleside,"(37.718783179867565, -122.46797513107241)"
B172392,9/15/17,12/19/17,41000,FALSE,TRUE,2,100 Block of 4th Avenue,94118,2,Inner Richmond,"(37.78601404154664, -122.46256310123425)"
B172396,9/20/17,12/1/17,20000,FALSE,FALSE,1,3900 Block of 18th Street,94114,8,Castro/Upper Market,"(37.76114316824529, -122.4316887894877)"
B172398,9/20/17,4/5/18,100000,FALSE,FALSE,1,0 Block of Rayburn Street,94114,8,Castro/Upper Market,"(37.756653170899256, -122.43187731022093)"
B151221,,5/15/15,57500,FALSE,TRUE,1,2500 Block of Union Street,94123,2,Marina,"(37.79630104993788, -122.44124511387236)"
