Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom
B180257,1/31/18,4/16/18,27100,FALSE,FALSE,2,2700 Block of Hyde Street,94109,2,Russian Hill,"(37.80618023263787, -122.4205328473653)"
B180258,1/31/18,4/10/18,16600,FALSE,TRUE,1,1200 Block of 35th Avenue,94122,4,Sunset/Parkside,"(37.76374916068013, -122.49426738312347)"
B180349,2/1/18,5/4/18,0,FALSE,FALSE,1,400 Block of 9th Avenue,94118,1,Inner Richmond,"(37.77991576318578, -122.46735172987015)"
B180352,2/5/18,4/2/18,11516,FALSE,FALSE,1,700 Block of Huron Avenue,94112,11,Outer Mission,"(37.711379707324426, -122.45034108438057)"
B180354,2/5/18,2/12/18,11200,FALSE,FALSE,4,2900 Block of Mission Street,94110,9,Mission,"(37.74984462224995, -122.41814258315732)"
B180355,2/5/18,2/12/18,5100,FALSE,FALSE,1,2900 Block of Mission Street,94110,9,Mission,"(37.74984462224995, -122.41814258315732)"
B180356,2/6/18,4/9/18,15000,FALSE,FALSE,2,2200 Block of 47th Avenue,94116,4,Sunset/Parkside,"(37.744529290666115, -122.50582192946192)"
B180409,2/5/18,4/26/18,49600,FALSE,TRUE,2,2600 Block of Post Street,94115,5,Presidio Heights,"(37.783652064121775, -122.44534902199196)"
B180430,2/12/18,2/12/18,15000,FALSE,FALSE,1,200 Block of Carl Street,94117,5,Inner Sunset,"(37.765392124780874, -122.45359219911221)"
B180494,2/13/18,4/27/18,40000,FALSE,FALSE,3,1000 Block of De Haro Street,94107,10,Potrero Hill,"(37.75591088577174, -122.40067862727109)"
B180502,2/15/18,4/2/18,15000,FALSE,TRUE,1,300 Block of Eureka Street,94114,8,Castro/Upper Market,"(37.75668747611818, -122.43795020922325)"
B180504,2/15/18,4/3/18,11000,FALSE,FALSE,1,100 Block of Waverly Place,94108,3,Chinatown,"(37.79464645436576, -122.40684267158974)"
B180516,2/16/18,4/20/18,25000,FALSE,FALSE,2,100 Block of Skyview Way,94131,7,Twin Peaks,"(37.75262655539065, -122.44985165402856)"
B180574,2/21/18,4/24/18,22500,FALSE,TRUE,2,1400 Block of 41st Avenue,94122,4,Sunset/Parkside,"(37.759724583594156, -122.50057075190412)"
B180578,2/23/18,5/1/18,23000,FALSE,TRUE,1,500 Block of Connecticut Street,94107,10,Potrero Hill,"(37.758696595866944, -122.39705709598189)"
B180582,2/23/18,4/27/18,17500,FALSE,FALSE,1,1000 Block of Washington Street,94108,3,Nob Hill,"(37.794606398081015, -122.41029457116407)"
B180651,3/2/18,5/7/18,50000,FALSE,FALSE,1,2000 Block of Franklin Street,94109,2,Pacific Heights,"(37.79329229301981, -122.424537680436)"
B180652,3/2/18,4/25/18,20762.77,FALSE,FALSE,1,3600 Block of 20th Street,94110,8,Mission,"(37.75848630391958, -122.42238538310203)"
B180661,3/5/18,5/8/18,30000,FALSE,TRUE,5,500 Block of Brussels Street,94134,9,Portola,"(37.725334088073645, -122.40477049328007)"
B180670,3/8/18,5/15/18,25000,FALSE,TRUE,2,400 Block of Alvarado Street,94114,8,Noe Valley,"(37.753944864262486, -122.4309975755464)"
B180743,3/13/18,3/13/18,25000,FALSE,FALSE,2,200 Block of Downey Street,94117,5,Haight Ashbury,"(37.76541825789241, -122.4467836390964)"
B180908,3/22/18,5/2/18,16000,FALSE,TRUE,2,900 Block of Union Street,94133,3,Russian Hill,"(37.79981026559224, -122.41467264825246)"
B180917,,3/23/18,20833.33,FALSE,FALSE,2,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)"
B180918,,3/23/18,20833.33,FALSE,FALSE,3,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)"
B180919,,3/23/18,20833.33,FALSE,FALSE,6,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)"
B180920,,3/23/18,20833.34,FALSE,FALSE,4,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)"
B180921,,3/23/18,20833.34,FALSE,FALSE,8,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)"
B180925,,3/27/18,18500,FALSE,FALSE,2,2900 Block of Pine Street,94115,2,Presidio Heights,"(37.78664014562665, -122.44439510428471)"
B181109,4/3/18,4/3/18,20000,FALSE,FALSE,2,400 Block of 32nd Avenue,94121,1,Outer Richmond,"(37.78071502407725, -122.4922346348842)"
B181211,3/26/18,5/14/18,29000,FALSE,FALSE,2,700 Block of Foerster Street,94127,7,West of Twin Peaks,"(37.73509219318729, -122.44895992503417)"
B181219,,4/16/18,40000,FALSE,TRUE,1,2700 Block of Folsom Street,94110,9,Mission,"(37.753298447582864, -122.41422876373993)"
B181223,4/18/18,4/18/18,15000,FALSE,FALSE,3,2600 Block of San Jose Avenue,94112,11,Oceanview/Merced/Ingleside,"(37.71482397119467, -122.45161266512376)"
B181229,,4/18/18,30000,FALSE,FALSE,2,1900 Block of Vicente Street,94116,4,Sunset/Parkside,"(37.73883618535943, -122.48775570444967)"
B181230,,4/18/18,60000,FALSE,FALSE,4,4400 Block of California Street,94118,1,Inner Richmond,"(37.78497742019531, -122.46511370838707)"
B181289,,4/20/18,17857.5,FALSE,FALSE,2,1800 Block of Golden Gate Avenue,94115,5,Western Addition,"(37.778351287940126, -122.44102844905092)"
B181298,,4/23/18,41326.7,FALSE,FALSE,1,100 Block of Divisadero Street,94117,8,Haight Ashbury,"(37.769663479461, -122.43678698852462)"
B181423,5/7/18,5/21/18,7000,FALSE,FALSE,2,0 Block of Belvedere Street,94117,5,Haight Ashbury,"(37.76918656767237, -122.4496179271254)"
B181505,,5/3/18,5000,FALSE,FALSE,4,300 Block of Crescent Avenue,94110,9,Bernal Heights,"(37.73491281544263, -122.4184162204905)"
B150597,3/17/15,12/11/15,54000,FALSE,FALSE,2,100 Block of Valley Street,94131,8,Noe Valley,"(37.744621476645236, -122.42560796238708)"
B150601,3/18/15,7/7/15,30000,FALSE,FALSE,1,3900 Block of Cabrillo Street,94121,1,Outer Richmond,"(37.77373216734446, -122.50092850808991)"
B150602,3/18/15,7/10/15,26300,FALSE,FALSE,4,1700 Block of Haight Street,94117,5,Haight Ashbury,"(37.76939812347932, -122.45127697689047)"
B150606,3/23/15,5/11/15,21000,FALSE,FALSE,7,200 Block of Munich Street,94112,11,Excelsior,"(37.721623443422985, -122.42618085093288)"
B150607,3/23/15,3/23/15,50000,FALSE,FALSE,2,1200 Block of 21st Avenue,94122,4,Sunset/Parkside,"(37.764412253173205, -122.47926339005936)"
B150692,3/31/15,7/6/15,310000,FALSE,FALSE,3,1000 Block of South Van Ness Avenue,94110,9,Mission,"(37.756363299801656, -122.41671210062687)"
B150693,3/31/15,7/6/15,20000,FALSE,FALSE,2,200 Block of Chestnut Street,94133,3,North Beach,"(37.80441024558558, -122.4075351837816)"
B150695,,3/31/15,25000,FALSE,FALSE,1,400 Block of 27th Street,94131,8,Noe Valley,"(37.74675115228325, -122.43030796630573)"
B150769,4/8/15,7/15/15,30000,FALSE,FALSE,3,100 Block of Bernard Street,94109,3,Nob Hill,"(37.7961589594177, -122.41590705600177)"
B150770,4/9/15,8/14/15,10000,FALSE,FALSE,3,1100 Block of Dolores Street,94110,8,Mission,"(37.75064153155523, -122.42488997663675)"
B150772,4/9/15,6/25/15,3000,FALSE,FALSE,2,0 Block of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.78155531176855, -122.44255898310887)"
B150773,4/9/15,6/8/15,5551,FALSE,FALSE,1,400 Block of Wilde Avenue,94134,10,Visitacion Valley,"(37.717602514737685, -122.40626825687472)"
B150807,4/10/15,7/20/15,74101.79,FALSE,FALSE,1,500 Block of Chenery Street,94131,8,Glen Park,"(37.73509395614844, -122.43107305225159)"
B150991,4/20/15,4/20/15,80000,FALSE,FALSE,2,2400 Block of Franklin Street,94123,2,Marina,"(37.79693614582903, -122.42541172010974)"
B150992,4/21/15,9/18/15,6500,FALSE,FALSE,1,1600 Block of 42nd Avenue,94122,4,Sunset/Parkside,"(37.755939411981586, -122.50138081121342)"
B150993,,4/22/15,20000,FALSE,FALSE,2,900 Block of Steiner Street,94117,5,Western Addition,"(37.7779651304182, -122.43324471032874)"
B150996,4/23/15,7/6/15,50400,FALSE,FALSE,1,500 Block of Clayton Street,94117,5,Haight Ashbury,"(37.770273091637705, -122.44860504754107)"
B150998,4/24/15,8/17/15,30000,FALSE,FALSE,3,900 Block of Somerset Street,94134,10,Portola,"(37.71994019925505, -122.40484460505533)"
B151043,4/29/15,7/27/15,19153,FALSE,FALSE,4,200 Block of Richland Avenue,94110,9,Bernal Heights,"(37.73579762909885, -122.42166206461111)"
B151057,4/30/15,6/25/15,10000,FALSE,FALSE,2,1900 Block of Sacramento Street,94109,2,Pacific Heights,"(37.791032114342286, -122.42499266527234)"
B151058,4/30/15,6/22/15,45000,FALSE,FALSE,1,100 Block of 4th Avenue,94118,2,Inner Richmond,"(37.78602013370176, -122.4624248956753)"
B151070,5/1/15,5/7/15,23500,FALSE,FALSE,2,800 Block of 30th Avenue,94121,1,Outer Richmond,"(37.77326200728656, -122.48954058459583)"
B151072,,5/1/15,47500,FALSE,FALSE,2,500 Block of Diamond Street,94114,8,Noe Valley,"(37.75394525570194, -122.43663217478633)"
B151113,5/5/15,7/3/15,15000,FALSE,FALSE,1,0 Block of States Street,94114,8,Castro/Upper Market,"(37.7634100550694, -122.43906507196981)"
B151125,5/7/15,8/25/15,61500,FALSE,FALSE,1,2700 Block of Bryant Street,94110,9,Mission,"(37.75040486568473, -122.40883258431666)"
B151126,5/7/15,8/7/15,14102,FALSE,TRUE,1,1600 Block of Ulloa Street,94116,7,West of Twin Peaks,"(37.74120383423485, -122.47395464643846)"
B151127,5/7/15,6/23/17,90000,FALSE,FALSE,1,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072236, -122.42159610332459)"
B151129,5/7/15,6/29/15,27422,FALSE,FALSE,2,400 Block of Vallejo Street,94133,3,North Beach,"(37.799081056607, -122.40433193336962)"
B151130,5/7/15,7/20/15,53000,FALSE,TRUE,2,100 Block of 26th Avenue,94121,2,Seacliff,"(37.78663300121139, -122.4862122761523)"
B151131,5/7/15,6/1/15,4000,FALSE,FALSE,1,400 Block of 9th Avenue,94118,1,Inner Richmond,"(37.77990974696631, -122.46748992935231)"
B151139,,5/8/15,35307,FALSE,TRUE,2,500 Block of 42nd Avenue,94121,1,Outer Richmond,"(37.778293562996176, -122.50294568931592)"
B151193,5/13/15,9/15/15,80000,FALSE,FALSE,1,1100 Block of Dolores Street,94110,8,Noe Valley,"(37.75062376178875, -122.42518489324722)"
B151196,5/14/15,10/21/15,42500,FALSE,FALSE,2,1300 Block of 20th Avenue,94122,4,Sunset/Parkside,"(37.76258094549407, -122.47819548332276)"
B151197,,5/14/15,8200,FALSE,FALSE,1,800 Block of Capp Street,94110,9,Mission,"(37.75309998106267, -122.41750085090202)"
B151198,,5/14/15,40000,FALSE,FALSE,4,2700 Block of Harrison Street,94110,9,Mission,"(37.75342545825382, -122.41204253929621)"
B151199,,5/14/15,30000,FALSE,FALSE,4,2700 Block of Harrison Street,94110,9,Mission,"(37.75342545825382, -122.41204253929621)"
B151200,,5/14/15,30000,FALSE,FALSE,4,2700 Block of Harrison Street,94110,9,Mission,"(37.75342545825382, -122.41204253929621)"
B151222,5/15/15,8/3/15,75000,FALSE,TRUE,2,2800 Block of 25th Street,94110,9,Mission,"(37.751338291242305, -122.4075930994213)"
B151254,5/19/15,7/20/15,15000,FALSE,FALSE,1,1000 Block of Bush Street,94109,3,Nob Hill,"(37.789478817108304, -122.41456113260082)"
B151255,,5/19/15,30000,FALSE,FALSE,1,100 Block of Harold Avenue,94112,11,Oceanview/Merced/Ingleside,"(37.72094754552436, -122.45302712277595)"
B151294,5/20/15,8/25/15,23500,FALSE,TRUE,2,1400 Block of Gough Street,94109,5,Japantown,"(37.78665474165871, -122.42502102688991)"
B151295,5/21/15,11/16/15,70000,FALSE,TRUE,5,2700 Block of 43rd Avenue,94116,4,Sunset/Parkside,"(37.735751595099316, -122.50104514911315)"
B151296,5/21/15,7/7/15,9000,FALSE,FALSE,2,0 Block of Mangels Avenue,94131,8,West of Twin Peaks,"(37.7330288668699, -122.4392857594092)"
B151297,,5/21/15,16000,FALSE,FALSE,2,600 Block of Gates Street,94110,9,Bernal Heights,"(37.73534992255338, -122.41433022144234)"
B151298,,5/21/15,69000,FALSE,FALSE,4,600 Block of Gates Street,94110,9,Bernal Heights,"(37.73534992255338, -122.41433022144234)"
B151325,,5/27/15,24500,FALSE,FALSE,4,2400 Block of Pacheco Street,94116,4,Sunset/Parkside,"(37.7501158668303, -122.48639394439198)"
B151330,5/28/15,7/27/15,5500,FALSE,FALSE,2,200 Block of Laguna Street,94102,5,Hayes Valley,"(37.773424617786645, -122.42572150967233)"
B151331,,5/28/15,45000,FALSE,TRUE,1,0 Block of Wilmot Street,94115,5,Pacific Heights,"(37.78753629243786, -122.43272041841895)"
B151332,,5/28/15,29500,FALSE,FALSE,2,400 Block of Clipper Street,94114,8,Noe Valley,"(37.74888377837124, -122.43496438898995)"
B151333,,5/28/15,34800,FALSE,TRUE,1,1000 Block of Pine Street,94109,3,Nob Hill,"(37.79051371572607, -122.41308009007174)"
B151355,5/29/15,8/21/15,18000,FALSE,TRUE,4,0 Block of De Long Street,94112,11,Outer Mission,"(37.70972578768812, -122.45836992880523)"
B151358,6/1/15,8/27/15,60000,FALSE,TRUE,2,1900 Block of 42nd Avenue,94116,4,Sunset/Parkside,"(37.7503586981534, -122.50085340522872)"
B151359,6/1/15,8/13/15,44500,FALSE,FALSE,5,700 Block of Pine Street,94108,3,Nob Hill,"(37.79109268439432, -122.4085074611105)"
B151372,6/2/15,12/7/15,112794,FALSE,TRUE,2,100 Block of Lower Terrace,94114,8,Castro/Upper Market,"(37.76332860675092, -122.44288933528475)"
B151373,6/2/15,12/7/15,25600,FALSE,TRUE,1,100 Block of Lower Terrace,94114,8,Castro/Upper Market,"(37.76332860675092, -122.44288933528475)"
B151374,6/2/15,8/11/15,14000,FALSE,TRUE,2,1700 Block of 11th Avenue,94122,7,Inner Sunset,"(37.755553264979966, -122.46793619309221)"
B151378,6/3/15,8/31/15,70000,FALSE,TRUE,2,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651025, -122.43435845409579)"
B151379,6/3/15,8/31/15,70000,FALSE,TRUE,1,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651025, -122.43435845409579)"
B151380,6/3/15,8/31/15,70000,FALSE,TRUE,1,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651025, -122.43435845409579)"
B151397,6/4/15,9/21/15,49276,FALSE,FALSE,2,1200 Block of Willard Street,94117,5,Inner Sunset,"(37.765707919720406, -122.45443015752356)"
B151398,6/4/15,7/15/15,3500,FALSE,FALSE,1,0 Block of Red Rock Way,94131,8,Noe Valley,"(37.746036675352386, -122.4421966322588)"
B151402,6/5/15,8/14/15,13000,FALSE,FALSE,2,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.76625767774476, -122.43336268256967)"
B151406,6/8/15,9/4/15,20000,FALSE,FALSE,4,200 Block of Eureka Street,94114,8,Castro/Upper Market,"(37.7582958475983, -122.43796674933365)"
B151443,,6/9/15,35000,FALSE,TRUE,1,0 Block of Doric Alley,94133,3,Chinatown,"(37.79528839834629, -122.4109753789371)"
B151449,,6/10/15,54000,FALSE,FALSE,3,200 Block of Guerrero Street,94103,8,Mission,"(37.7671990410714, -122.42445208435916)"
B151450,,6/10/15,115000,FALSE,FALSE,2,4000 Block of Mission Street,94112,8,Outer Mission,"(37.73224262524613, -122.42790210826313)"
B151457,,6/4/15,25000,FALSE,FALSE,1,300 Block of Russia Avenue,94112,11,Excelsior,"(37.720206790088156, -122.43442066998058)"
B151478,3/27/15,6/12/15,32500,FALSE,FALSE,2,800 Block of Fillmore Street,94117,5,Hayes Valley,"(37.777221092584284, -122.43154785872456)"
B151479,6/12/15,1/29/16,53703.46,FALSE,FALSE,2,100 Block of Downey Street,94117,5,Haight Ashbury,"(37.76541825789241, -122.4467836390964)"
B151504,6/16/15,8/5/15,7000,FALSE,FALSE,1,0 Block of Pinehurst Way,94127,7,West of Twin Peaks,"(37.72756857575827, -122.4653956787552)"
B151516,,6/17/15,80000,FALSE,TRUE,1,2900 Block of Cesar Chavez Street,94110,9,Bernal Heights,"(37.74823739361146, -122.4091747161462)"
B151517,,6/17/15,45000,FALSE,FALSE,3,300 Block of Russia Avenue,94112,11,Excelsior,"(37.720206790088156, -122.43442066998058)"
B151540,6/18/15,1/19/16,20000,FALSE,FALSE,2,900 Block of Judah Street,94122,7,Inner Sunset,"(37.761819307435914, -122.47209111524754)"
B151542,6/22/15,9/1/15,75000,FALSE,TRUE,1,1400 Block of Church Street,94131,8,Noe Valley,"(37.74730041855781, -122.4269378974234)"
B151544,6/23/15,9/1/15,40000,FALSE,TRUE,1,1700 Block of Sanchez Street,94131,8,Glen Park,"(37.74104153321919, -122.42875480384323)"
B151545,6/23/15,9/23/15,15000,FALSE,FALSE,1,500 Block of Page Street,94117,5,Hayes Valley,"(37.77308931740637, -122.42979862134071)"
B151550,,6/24/15,38000,FALSE,TRUE,2,700 Block of Green Street,94133,3,Chinatown,"(37.79917162398874, -122.41212310028173)"
B151559,6/25/15,8/14/15,23000,FALSE,TRUE,3,200 Block of Gough Street,94102,5,Hayes Valley,"(37.77524483223053, -122.42271387731311)"
B151560,6/25/15,10/9/15,30000,FALSE,FALSE,2,1500 Block of Oak Street,94117,5,Haight Ashbury,"(37.77213360752625, -122.4448595562686)"
B151561,6/26/15,4/12/16,70000,FALSE,FALSE,3,0 Block of Cook Street,94118,2,Presidio Heights,"(37.782761528072655, -122.45225544814764)"
B151565,6/29/15,8/19/15,17450,FALSE,FALSE,2,1300 Block of Francisco Street,94123,2,Marina,"(37.80294860970148, -122.42739861574515)"
B151566,6/30/15,8/20/15,20000,FALSE,FALSE,4,500 Block of Athens Street,94112,11,Excelsior,"(37.71928199230839, -122.430129309919)"
B151583,6/30/15,10/22/15,34500,FALSE,FALSE,3,1200 Block of York Street,94110,9,Mission,"(37.752058749686704, -122.40804392744808)"
B151599,7/1/15,9/4/15,20000,FALSE,FALSE,2,1700 Block of Green Street,94123,2,Marina,"(37.797041708816444, -122.4278918861077)"
B151602,,7/2/15,70000,FALSE,TRUE,4,200 Block of 4th Avenue,94118,1,Inner Richmond,"(37.783975803643855, -122.46227844344496)"
B151693,7/6/15,2/18/16,45000,FALSE,FALSE,1,4400 Block of 23rd Street,94114,8,Noe Valley,"(37.75238439368659, -122.44164324129721)"
B151695,7/8/15,11/19/15,25000,FALSE,TRUE,1,0 Block of Walter Street,94114,8,Castro/Upper Market,"(37.76839321885807, -122.43231279695766)"
B151708,7/9/15,9/1/15,20354,FALSE,FALSE,2,2000 Block of Larkin Street,94109,3,Russian Hill,"(37.796592926482425, -122.42028152971635)"
B151750,7/10/15,8/14/15,13000,FALSE,FALSE,2,100 Block of Trumbull Street,94112,11,Excelsior,"(37.73079115008474, -122.42726174283199)"
B151752,7/10/15,9/28/15,20354,FALSE,TRUE,5,1300 Block of 24th Avenue,94122,4,Sunset/Parkside,"(37.76239816506313, -122.48234823361857)"
B173030,11/21/17,5/24/18,60455.89,FALSE,FALSE,6,800 Block of Colby Street,94134,9,Portola,"(37.71990459066242, -122.41030943249152)"
B180668,3/8/18,5/31/18,30000,FALSE,TRUE,2,300 Block of Connecticut Street,94107,10,Potrero Hill,"(37.76187752147646, -122.39750236417368)"
B181770,,5/25/18,10085.48,FALSE,FALSE,1,700 Block of Green Street,94133,3,Chinatown,"(37.799198389216656, -122.41103088149119)"
B180204,1/25/18,5/21/18,22103,FALSE,FALSE,1,0 Block of Carmelita Street,94117,8,Haight Ashbury,"(37.77022212721447, -122.43438943209264)"
B172369,9/13/17,5/14/18,55845.06,FALSE,TRUE,1,1500 Block of Church Street,94131,8,Noe Valley,"(37.74569488925034, -122.42692575783607)"
B172370,9/13/17,5/14/18,63824.09,FALSE,TRUE,1,1500 Block of Church Street,94131,8,Noe Valley,"(37.74569488925034, -122.42692575783607)"
B172371,9/13/17,5/14/18,76930.86,FALSE,TRUE,1,1500 Block of Church Street,94131,8,Noe Valley,"(37.74569488925034, -122.42692575783607)"
B173033,12/4/17,5/16/18,75000,FALSE,FALSE,1,0 Block of White Street,94109,3,Russian Hill,"(37.79753548935855, -122.41962845183829)"
B173034,12/4/17,5/16/18,75000,FALSE,FALSE,1,0 Block of White Street,94109,3,Russian Hill,"(37.79753548935855, -122.41962845183829)"
B180056,1/8/18,5/21/18,44375,FALSE,TRUE,1,500 Block of Vermont Street,94107,10,Potrero Hill,"(37.76275108496149, -122.40424623389376)"
B180427,2/9/18,5/15/18,12562,FALSE,FALSE,2,2500 Block of Pine Street,94115,2,Pacific Heights,"(37.78748295174453, -122.43776937092964)"
B181299,4/24/18,5/16/18,66352.5,FALSE,FALSE,1,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072236, -122.42159610332459)"
B172391,9/15/17,5/24/18,8000,FALSE,FALSE,1,0 Block of Noe Street,94114,8,Castro/Upper Market,"(37.768324129442234, -122.43342123790367)"
B172456,9/26/17,6/1/18,40000,FALSE,FALSE,3,700 Block of 39th Avenue,94121,1,Outer Richmond,"(37.774681208482534, -122.49945592176411)"
B180499,2/14/18,5/25/18,40000,FALSE,FALSE,2,0 Block of Mirabel Avenue,94110,9,Bernal Heights,"(37.74641966586264, -122.41645606578861)"
B180577,2/22/18,5/25/18,25000,FALSE,FALSE,1,1500 Block of Clay Street,94109,3,Nob Hill,"(37.79259173757575, -122.41897823312603)"
B180666,3/8/18,6/1/18,15000,FALSE,TRUE,2,300 Block of Melrose Avenue,94127,7,West of Twin Peaks,"(37.733857780460404, -122.45080878137028)"
B180906,3/19/18,5/23/18,7500,FALSE,FALSE,1,2400 Block of Van Ness Avenue,94109,2,Marina,"(37.798062779245996, -122.42405842434847)"
B181039,4/2/18,6/1/18,35000,FALSE,FALSE,2,800 Block of Hampshire Street,94110,9,Potrero Hill,"(37.75851219968846, -122.40776134003491)"
B181130,4/4/18,6/1/18,30000,FALSE,FALSE,1,800 Block of Hampshire Street,94110,9,Potrero Hill,"(37.75851219968846, -122.40776134003491)"
B181594,,5/16/18,73000,FALSE,FALSE,1,3100 Block of Broderick Street,94123,2,Marina,"(37.799269149914124, -122.44448565021659)"
B181620,5/23/18,5/31/18,6000,FALSE,FALSE,2,100 Block of Whipple Avenue,94112,11,Outer Mission,"(37.71193895101753, -122.44905896878515)"
B181720,,5/31/18,,TRUE,FALSE,2,0 Block of San Jacinto Way,94112,7,West of Twin Peaks,"(37.7335715806156, -122.46289420295805)"
B181732,,6/1/18,50000,FALSE,FALSE,2,200 Block of Lincoln Way,94122,5,Inner Sunset,"(37.766087774671476, -122.46055272384265)"
B170613,3/7/17,6/5/18,17964.8,FALSE,FALSE,3,300 Block of San Jose Avenue,94110,8,Mission,"(37.74941061779481, -122.42126872073914)"
B171103,4/25/17,6/5/18,50000,FALSE,FALSE,2,500 Block of Sanchez Street,94114,8,Castro/Upper Market,"(37.75995321392863, -122.43052767189606)"
B180640,3/2/18,6/5/18,26000,FALSE,FALSE,1,400 Block of Monterey Boulevard,94127,7,West of Twin Peaks,"(37.73146036019103, -122.4454441203288)"
B181717,5/30/18,6/5/18,16544.83,FALSE,FALSE,1,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072236, -122.42159610332459)"
B181749,6/6/18,6/26/18,53043.02,FALSE,FALSE,1,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072236, -122.42159610332459)"
B171002,4/13/17,6/20/18,34500,FALSE,TRUE,3,300 Block of Oak Street,94102,5,Hayes Valley,"(37.77465757740634, -122.42500140054743)"
B172302,9/12/17,6/8/18,65000,FALSE,FALSE,2,100 Block of Buchanan Street,94102,5,Hayes Valley,"(37.771117695122186, -122.42694351366245)"
B172402,9/20/17,6/13/18,51702,FALSE,FALSE,7,1900 Block of 19th Avenue,94116,7,Inner Sunset,"(37.751450977182245, -122.47609732322593)"
B173035,12/5/17,6/8/18,25000,FALSE,FALSE,1,400 Block of Sanchez Street,94114,8,Castro/Upper Market,"(37.76155077358178, -122.4306808591215)"
B180507,2/15/18,6/11/18,32000,FALSE,FALSE,2,1800 Block of 43rd Avenue,94122,4,Sunset/Parkside,"(37.75217604791132, -122.50205659741516)"
B180910,3/23/18,6/20/18,11046,FALSE,FALSE,1,500 Block of Roosevelt Way,94114,8,Castro/Upper Market,"(37.762842125962564, -122.4441522935265)"
B180913,3/23/18,6/18/18,10000,FALSE,FALSE,1,500 Block of 14th Avenue,94118,1,Outer Richmond,"(37.77777072333867, -122.4727091573782)"
B181026,3/30/18,6/13/18,18000,FALSE,FALSE,13,700 Block of London Street,94112,11,Excelsior,"(37.71756679387439, -122.43926518513666)"
B181204,4/11/18,6/6/18,8000,FALSE,FALSE,1,300 Block of Warren Drive,94131,7,Inner Sunset,"(37.75560076511, -122.46127617748563)"
B181780,,6/13/18,50000,FALSE,FALSE,1,200 Block of Lincoln Way,94122,5,Inner Sunset,"(37.766087774671476, -122.46055272384265)"
B181781,,6/13/18,50000,FALSE,FALSE,2,200 Block of Lincoln Way,94122,5,Inner Sunset,"(37.766087774671476, -122.46055272384265)"
B181823,,6/14/18,24750,FALSE,FALSE,1,1400 Block of 6th Avenue,94122,5,Inner Sunset,"(37.761387052056335, -122.46283787591564)"
B181830,,6/15/18,15000,FALSE,FALSE,1,100 Block of Maynard Street,94112,11,Excelsior,"(37.72939514948723, -122.4271509655655)"
B172720,10/26/17,6/25/18,50800,FALSE,FALSE,2,200 Block of Topeka Avenue,94124,10,Bayview Hunters Point,"(37.732909624544284, -122.39733357795807)"
B180500,2/14/18,6/21/18,91337.5,FALSE,FALSE,2,400 Block of 14th Avenue,94118,1,Outer Richmond,"(37.77966425257889, -122.47284533062005)"
B180662,3/5/18,6/21/18,10000,FALSE,FALSE,1,1200 Block of 31st Avenue,94122,4,Sunset/Parkside,"(37.7639348524231, -122.49011914910884)"
B180903,3/20/18,6/26/18,7000,FALSE,FALSE,1,500 Block of Flood Avenue,94112,7,West of Twin Peaks,"(37.72992420949618, -122.45178899309104)"
B181199,4/9/18,6/22/18,28400,FALSE,TRUE,1,100 Block of Wood Street,94112,1,Lone Mountain/USF,"(37.78152103879187, -122.44898765370768)"
B181201,4/10/18,6/20/18,20704,FALSE,TRUE,2,300 Block of San Carlos Street,94110,9,Mission,"(37.75778230816283, -122.41983420132213)"
B181311,4/25/18,6/22/18,30000,FALSE,TRUE,3,5500 Block of Diamond Heights Boulevard,94131,8,Glen Park,"(37.739404355618376, -122.43614260507145)"
B172804,11/7/17,6/27/18,64077.78,FALSE,FALSE,2,0 Block of Vasquez Avenue,94127,7,West of Twin Peaks,"(37.74620523894936, -122.45742838958436)"
B173042,12/7/17,6/27/18,80000,FALSE,TRUE,4,2900 Block of 24th Street,94110,9,Mission,"(37.75276672713771, -122.41051978244654)"
B180503,2/15/18,6/29/18,60000,FALSE,TRUE,1,0 Block of Carl Street,94117,5,Haight Ashbury,"(37.76588189645249, -122.44887998804502)"
B180735,3/9/18,6/26/18,28155.68,FALSE,FALSE,1,100 Block of Dolores Street,94103,8,Castro/Upper Market,"(37.76666294196811, -122.42673239216249)"
B180736,3/9/18,6/26/18,29799.72,FALSE,FALSE,1,100 Block of Dolores Street,94103,8,Castro/Upper Market,"(37.76666294196811, -122.42673239216249)"
