,lat.,long.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Unified School District Name","Unified School District LEA code","Unified School District Grade Low","Unified School District Grade High","Elementary School District Name","Elementary School District LEA code","Elementary School District Grade Low","Elementary School District Grade High","Secondary School District Name","Secondary School District LEA code","Secondary School District Grade Low","Secondary School District Grade High"
1424,37.79689,-122.414501,37.79689,-122.414501,1,nearest_street,1000,"Broadway St","San Francisco",CA,"San Francisco County",94133,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1425,37.794321,-122.413011,37.79432,-122.413011,1,nearest_street,1300,"Taylor St","San Francisco",CA,"San Francisco County",94108,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1426,37.794415,-122.419936,37.794565,-122.419964,1,rooftop,1801,"Larkin St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1427,37.786849,-122.442319,37.786735,-122.442178,1,rooftop,2801,"Pine St","San Francisco",CA,"San Francisco County",94115,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1428,37.7999,-122.4342,37.799831,-122.434086,1,rooftop,3130,"Webster St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1429,37.741332,-122.472353,37.741332,-122.472353,1,nearest_street,2500,"16th Ave","San Francisco",CA,"San Francisco County",94116,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1431,37.79868,-122.415572,37.79868,-122.415572,1,nearest_street,1900,"Jones St","San Francisco",CA,"San Francisco County",94133,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1432,37.785582,-122.414617,37.785581,-122.414617,1,nearest_street,500,"Leavenworth St","San Francisco",CA,"San Francisco County",94109,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1436,37.74532,-122.419204,37.745273,-122.419247,1,rooftop,38,"Fair Ave","San Francisco",CA,"San Francisco County",94110,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1441,37.793223,-122.41447,37.793223,-122.41447,1,nearest_street,1300,"Clay St","San Francisco",CA,"San Francisco County",94109,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1442,37.77534,-122.423846,37.775242,-122.423785,1,rooftop,273,"Hickory St","San Francisco",CA,"San Francisco County",94102,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1444,37.797588,-122.431566,37.7974,-122.431475,1,rooftop,1959,"Union St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1445,37.754014,-122.443013,37.754014,-122.443013,1,nearest_street,702,"Corbett Ave","San Francisco",CA,"San Francisco County",94131,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1446,37.8002,-122.4091,37.800247,-122.408928,1,rooftop,1560,"Stockton St","San Francisco",CA,"San Francisco County",94133,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1447,37.752796,-122.40913,37.752796,-122.40913,1,nearest_street,2850,"24th St","San Francisco",CA,"San Francisco County",94110,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1448,37.792472,-122.434558,37.792472,-122.434558,1,nearest_street,2400,"Jackson St","San Francisco",CA,"San Francisco County",94115,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1451,37.777507,-122.433085,37.777399,-122.432887,1,rooftop,898,"Steiner St","San Francisco",CA,"San Francisco County",94117,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1452,37.802411,-122.44334,37.802482,-122.443049,1,rooftop,3544,"Divisadero St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1456,37.752869,-122.401471,37.752878,-122.401741,1,rooftop,1324,"Rhode Island St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1457,37.792089,-122.423366,37.792354,-122.423436,1,rooftop,1830,"Clay St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1458,37.791038,-122.409379,37.790808,-122.409329,1,rooftop,821,"Pine St","San Francisco",CA,"San Francisco County",94108,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1462,37.762522,-122.436898,37.762542,-122.436733,1,rooftop,4068,"17th St","San Francisco",CA,"San Francisco County",94114,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1463,37.76912,-122.420204,37.769005,-122.420243,1,rooftop,1754,"Mission St","San Francisco",CA,"San Francisco County",94103,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1467,37.778017,-122.409337,37.778197,-122.40939,1,rooftop,1098,"Howard St","San Francisco",CA,"San Francisco County",94103,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1468,37.79868,-122.415572,37.79868,-122.415572,1,nearest_street,1900,"Jones St","San Francisco",CA,"San Francisco County",94133,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1469,37.763672,-122.388793,37.76366,-122.389134,1,rooftop,2030,"3rd St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
